font	group	site	candidate	label	markH	capH	wordH	t	vsCap	vsWordInk	panelH	renderedVsCap	renderedVsWordInk
Inter	pills	EventLogView[IconCheckmarkFilled+Info]	b	Info	12.000	10.182	13.045	0.635	1.432	1.591	13.500	2.050	1.688
Inter	pills	EventLogView[IconCheckmarkFilled+Warning]	b	Warning	12.000	10.182	13.045	0.635	1.432	0.080	13.500	1.853	0.145
Inter	freshness	ProjectsView[IconWarningFilled+Updated 4 m ago]	b	Updated 4 m ago	12.000	8.727	11.182	1.000	1.227	-0.068	12.000	1.537	0.164
Inter	legend	StatisticsView[Panel+Einstein@Home]	b	Einstein@Home	12.000	8.727	11.182	1.000	1.227	0.213	12.000	1.716	0.408
Inter	legend	StatisticsView[Panel+LHC@home]	b	LHC@home	12.000	8.727	11.182	1.000	1.227	0.136	12.000	1.611	0.355
Inter	computing	TasksView[IconChevronDownRegular+Computing]	b	Computing	12.000	9.455	12.114	1.000	1.330	0.155	16.000	1.773	0.116
Inter	computing	TasksView[IconPlaySettingsRegular+Computing]	b	Computing	16.000	9.455	12.114	1.000	1.330	0.155	16.000	1.727	0.070
Inter	freshness	TasksView[IconWarningFilled+3 deadlines at risk]	b	3 deadlines at risk	12.000	8.727	11.182	1.000	1.227	1.287	27.000	1.727	1.479
Inter	freshness	TasksView[IconWarningFilled+Updated 4 m ago]	b	Updated 4 m ago	12.000	8.727	11.182	1.000	1.227	-0.068	12.000	1.537	0.164
Inter	freshness	TransfersView[IconWarningFilled+Updated 4 m ago]	b	Updated 4 m ago	12.000	8.727	11.182	1.000	1.227	-0.068	12.000	1.537	0.164
Inter	pills	EventLogView[IconCheckmarkFilled+Error]	c	Error	12.000	10.182	13.045	0.635	0.909	0.830	12.000	1.244	1.112
Inter	pills	EventLogView[IconCheckmarkFilled+Info]	c	Info	12.000	10.182	13.045	0.635	0.909	1.068	12.000	1.706	1.343
